Addresse,code_commune_insee,departement,Latitude,Longitude,Distance,DurationPoliceMin
77145,77145,77,49.0673457,3.0322264,16.170681702706467,0.3927777777777778
78120,78120,78,48.6386217,1.8379762,1.5131964890297962,0.12333333333333334
78950,78950,78,48.7778873,1.6754046000000002,18.06783231630698,0.37027777777777776
91490,91490,91,48.4132088,2.4724487,21.86835049067407,0.43916666666666665
95640,95640,95,49.1463963,1.9763970000000002,14.416980308077244,0.36527777777777776
Abbéville-la-Rivière 91150,91150,91,48.3463691,2.16588,10.133372188783914,0.23027777777777778
Ableiges 95450,95450,95,49.0901646,1.9812325000000002,8.417462400900954,0.2633333333333333
Ablis 78660,78660,78,48.517153,1.8368758,14.626063194548117,0.2836111111111111
Ablon-sur-Seine 94480,94480,94,48.7247582,2.421509,2.2544532674110673,0.14805555555555555
Achères 78260 (Centre-ville - Cité de la Barricade),78260,78,48.9612,2.0688,4.016793602404162,0.17333333333333334
Achères 78260 (Champs de Villars - Le Magasin - Gare - Petite-Arche),78260,78,48.9612,2.0688,4.016793602404162,0.17333333333333334
Achères 78260 (Chêne Feuillu),78260,78,48.949571,2.0686077000000003,3.1388541835359587,0.15861111111111112
Achères 78260 (La Porte-de-Seine - La Croix d'Achères - Les Communes),78260,78,48.9612,2.0688,4.016793602404162,0.17333333333333334
Achères 78260 (Montsouris),78260,78,48.9586224,2.0728059,4.148286497191886,0.17194444444444446
Adainville 78113,78113,78,48.7223394,1.6514131999999997,15.116732142733635,0.3630555555555556
Aigremont 78240,78240,78,48.9038131,2.0195357,3.092613070945283,0.16055555555555556
Aincourt 95510,95510,95,49.0719037,1.7719759999999998,19.366990450193132,0.5363888888888889
Alfortville 94140,94140,94,48.8051624,2.4197113,0.49045121669772107,0.04638888888888889
Alfortville 94140 (Mairie - Gare),94140,94,48.8018729,2.4261337000000003,0.8620793492819868,0.10194444444444445
Alfortville 94140 (Zola Carnot - Alouettes - Val de Seine),94140,94,48.8058,2.4204,0.5428174583077745,0.09583333333333334
Allainville 78660,78660,78,48.4568654,1.8959608,21.955916666710085,0.39222222222222225
Amenucourt 95510,95510,95,49.10672879999999,1.6432238999999997,29.509627769678325,0.58
Andilly 95580,95580,95,49.005362,2.2988964,4.072824279872213,0.2436111111111111
Andrezel 77390,77390,77,48.6112435,2.8135847000000003,13.606278369509337,0.3372222222222222
Andrésy 78570 (Charvaux),78570,78,48.9889911,2.050944,3.1702616668286487,0.13444444444444445
Andrésy 78570 (Denouval),78570,78,48.96467929999999,2.0444471,4.221643030077016,0.15666666666666668
Andrésy 78570 (Gare - Valences - Marottes - Ponceau),78570,78,48.9761,2.0326,4.87037985251475,0.19777777777777777
Andrésy 78570 (L'Aiglon - Rive Gauche - Fin d'Oise - Pont de Conflans),78570,78,48.9761,2.0326,4.87037985251475,0.19777777777777777
Andrésy 78570 (Village - Les Iles - Renardière),78570,78,48.9761,2.0326,4.87037985251475,0.19777777777777777
Angerville 91670,91670,91,48.3106704,1.9979775,18.711993918886677,0.2891666666666667
Angervilliers 91470,91470,91,48.59263,2.06433,12.780366326179717,0.3686111111111111
Annet-sur-Marne 77410,77410,77,48.9263555,2.7189327000000003,5.68862725557907,0.28444444444444444
Antony 92160,92160,92,48.753554,2.2959423,0.791844186837754,0.08194444444444444
Antony 92160 (Baconnets),92160,92,48.7396044,2.2874034,2.4506288146087734,0.17277777777777778
Antony 92160 (Centre-ville),92160,92,48.753554,2.2959423,0.791844186837754,0.08194444444444444
Antony 92160 (Croix de Berny),92160,92,48.762474,2.3046259,0.5604176660059215,0.06027777777777778
Antony 92160 (Rabats),92160,92,48.7426365,2.3096724,2.1868382705645417,0.17444444444444446
Arbonne-la-Forêt 77630,77630,77,48.4123357,2.5667447,9.935699485762893,0.20194444444444445
Arcueil 94110 (Barbusse),94110,94,48.8077519,2.3368387000000004,0.682543747427589,0.09888888888888889
Arcueil 94110 (Joliot Curie),94110,94,48.7999,2.3326,1.1630174445708845,0.0913888888888889
Arcueil 94110 (Jules Ferry),94110,94,48.8009605,2.330243,1.254368777286061,0.125
Arcueil 94110 (Laplace),94110,94,48.8064996,2.3366502,0.665894803061148,0.06638888888888889
Arcueil 94110 (Plateau-Kergomard),94110,94,48.7999,2.3326,1.1630174445708845,0.0913888888888889
Argenteuil 95100,95100,95,48.94790689999999,2.2481797,0.606941312223927,0.11916666666666667
Argenteuil 95100 (Centre-ville),95100,95,48.94790689999999,2.2481797,0.606941312223927,0.11916666666666667
Argenteuil 95100 (Les Coteaux),95100,95,48.9595205,2.2388359,2.0062008989394897,0.125
Argenteuil 95100 (Orgemont - Volembert),95100,95,48.9569895,2.2832754,2.251448318298598,0.15527777777777776
Argenteuil 95100 (Val Notre Dame),95100,95,48.941516,2.207981,1.4861982492283008,0.08388888888888889
